epoch,total_reward,avg_reward_per_step,num_episodes,avg_cost,lambda,pi_loss,loss_vr,loss_vc
1,-9246.977418584884,-2.2575628463342,220,0.0,0.099,-0.02552315965294838,677.0656127929688,0.006491472944617271
2,-8989.928857944695,-2.194806850084154,222,0.0,0.098,-0.01632062718272209,643.2555541992188,0.0030137277208268642
3,-8651.357079380094,-2.1121477244580307,218,0.0,0.097,-0.015157558023929596,612.37158203125,0.002308381488546729
4,-8481.736995077563,-2.070736571063858,220,0.0,0.096,-0.015000671148300171,586.2846069335938,0.0019173204200342298
5,-8280.556253985891,-2.021620179195774,214,0.0,0.095,-0.015378652140498161,592.6571044921875,0.0016630919417366385
6,-8019.878582365965,-1.9579781695229406,206,0.0,0.094,-0.015029012225568295,591.1947631835938,0.0014397497288882732
7,-7931.484404713168,-1.9363975597444258,207,0.0,0.093,-0.014545179903507233,555.4015502929688,0.0013636958319693804
8,-7536.289737687418,-1.8399144867400923,203,0.0,0.092,-0.019334856420755386,521.2488403320312,0.0013021404156461358
9,-7438.203651747898,-1.8159676884150142,206,0.0,0.091,-0.015554116107523441,485.935546875,0.0011104535078629851
10,-7532.913663837848,-1.839090249960412,202,0.0,0.09,-0.014368010684847832,533.1505126953125,0.0011259637540206313
11,-7296.409571123882,-1.7813499929501666,194,0.0,0.089,-0.016983039677143097,519.205078125,0.0010304811876267195
12,-7404.307961171573,-1.8076923733329036,190,0.0,0.088,-0.01718091033399105,541.2391967773438,0.0009756965446285903
13,-7006.710041058465,-1.7106225686177894,198,0.0,0.087,-0.017635030671954155,449.83197021484375,0.0009145545773208141
14,-7735.252380092061,-1.8884893506084133,186,0.0,0.086,-0.018026119098067284,579.8232421875,0.0008990239584818482
15,-6752.271116854688,-1.6485036906383517,189,0.0,0.08499999999999999,-0.01710885763168335,450.42388916015625,0.000811099773272872
16,-6808.740238083478,-1.6622900971883492,189,0.0,0.08399999999999999,-0.02007235959172249,438.0751647949219,0.0007937765913084149
17,-6279.410554970396,-1.5330592175220694,192,0.0,0.08299999999999999,-0.01654607057571411,344.44830322265625,0.0007401955081149936
18,-6977.950102971375,-1.7036010993582458,179,0.0,0.08199999999999999,-0.017354564741253853,465.8937683105469,0.0007227970636449754
19,-6146.0266336644045,-1.5004947836094737,188,0.0,0.08099999999999999,-0.01689795032143593,335.93609619140625,0.0006631496362388134
20,-6742.242134812273,-1.6460552086944027,184,0.0,0.07999999999999999,-0.017336010932922363,405.63446044921875,0.0006528141675516963
21,-6886.8613377326255,-1.6813626312823793,175,0.0,0.07899999999999999,-0.020350025966763496,441.51934814453125,0.0006212351727299392
22,-6231.668554201346,-1.521403455615563,181,0.0,0.07799999999999999,-0.018108302727341652,325.9777526855469,0.0005671139806509018
23,-6578.382706163507,-1.6060504653719498,182,0.0,0.07699999999999999,-0.01722867228090763,354.45562744140625,0.0005805928376503289
24,-6698.0244929906785,-1.6352598859840524,182,0.0,0.07599999999999998,-0.018018752336502075,354.1503601074219,0.0005325657548382878
25,-7164.073906232699,-1.7490414810138426,186,0.0,0.07499999999999998,-0.019701708108186722,402.8813171386719,0.00053012790158391
26,-7314.615545089184,-1.785794810812789,186,0.0,0.07399999999999998,-0.02019212767481804,396.2071838378906,0.0005063851131126285
27,-6461.537191230586,-1.5775237283277799,188,0.0,0.07299999999999998,-0.015024893917143345,314.08355712890625,0.0004729362844955176
28,-7022.15557022577,-1.714393449762151,186,0.0,0.07199999999999998,-0.016569992527365685,356.1965026855469,0.00046141009079292417
29,-6927.521898821384,-1.6912895260794394,188,0.0,0.07099999999999998,-0.016856413334608078,328.31927490234375,0.00046535825822502375
30,-6576.7163279896295,-1.6056436347630931,189,0.0,0.06999999999999998,-0.015572239644825459,308.05670166015625,0.00040413386886939406
31,-6880.136455244812,-1.679720814268753,195,0.0,0.06899999999999998,-0.018137598410248756,313.4045715332031,0.000415671500377357
32,-7163.035361860235,-1.748787930141659,188,0.0,0.06799999999999998,-0.017832089215517044,348.9002990722656,0.00041696420521475375
33,-6984.486892879113,-1.7051969953318147,193,0.0,0.06699999999999998,-0.01597069576382637,319.781982421875,0.0003845233004540205
34,-6927.153843840502,-1.6911996689063726,197,0.0,0.06599999999999998,-0.01486998237669468,307.4794921875,0.0003856068360619247
35,-7034.959866881147,-1.71751949875028,204,0.0,0.06499999999999997,-0.01804761216044426,291.68463134765625,0.00036621413892135024
36,-7714.968782583091,-1.8835373004353249,187,0.0,0.06399999999999997,-0.015109404921531677,408.216064453125,0.00036532626836560667
37,-7417.458664426733,-1.8109029942448078,200,0.0,0.06299999999999997,-0.01852498948574066,358.7403564453125,0.00036451785126701
38,-7903.335451216125,-1.9295252566445618,205,0.0,0.06199999999999997,-0.019272608682513237,396.47705078125,0.00033914551022462547
39,-7604.416901337777,-1.8565470950531682,205,0.0,0.06099999999999997,-0.020158609375357628,323.39447021484375,0.000316763500450179
40,-7692.709525516993,-1.8781029115031722,205,0.0,0.05999999999999997,-0.015720048919320107,343.9588623046875,0.0003185929381288588
41,-7714.421824517175,-1.8834037657512634,208,0.0,0.05899999999999997,-0.017629146575927734,317.6849670410156,0.0003046731580980122
42,-7568.528362774419,-1.8477852448179735,203,0.0,0.05799999999999997,-0.02028733491897583,326.1001281738281,0.0002999831922352314
43,-7830.3219154294,-1.911699686384131,212,0.0,0.05699999999999997,-0.019263900816440582,305.05535888671875,0.00028208192088641226
44,-7809.430553079116,-1.906599256122831,218,0.0,0.055999999999999966,-0.01922711916267872,275.7960205078125,0.0002795963082462549
45,-7855.7273186778475,-1.9179021774115839,213,0.0,0.054999999999999966,-0.022158566862344742,309.38031005859375,0.0002921294653788209
46,-7811.204585195535,-1.9070323694325038,213,0.0,0.053999999999999965,-0.01860649138689041,292.11505126953125,0.0002784895186778158
47,-7420.4466850454055,-1.8116324914661635,203,0.0,0.052999999999999964,-0.020543962717056274,290.98968505859375,0.0002738635230343789
48,-7801.756665782392,-1.9047257484820292,208,0.0,0.05199999999999996,-0.01929844170808792,318.7010803222656,0.00026074855122715235
49,-7573.054054970244,-1.8488901501392196,208,0.0,0.05099999999999996,-0.01807689480483532,289.1395263671875,0.00025934091536328197
50,-7744.775114694515,-1.8908142369859655,209,0.0,0.04999999999999996,-0.019924568012356758,270.3486633300781,0.0002564337628427893
51,-7636.036778440313,-1.8642667916114046,209,0.0,0.04899999999999996,-0.021583544090390205,269.038818359375,0.00022528934641741216
52,-7813.232301910789,-1.9075274174586887,209,0.0,0.04799999999999996,-0.022312212735414505,284.71417236328125,0.0002411084424238652
53,-7727.971631932656,-1.8867118242023087,212,0.0,0.04699999999999996,-0.021304160356521606,257.1343688964844,0.0002376994234509766
54,-8062.383284789176,-1.9683552941379825,217,0.0,0.04599999999999996,-0.02044912613928318,285.16241455078125,0.0002285730734001845
55,-7672.933785904789,-1.8732748500744114,218,0.0,0.04499999999999996,-0.019572515040636063,212.4284210205078,0.00021725782426074147
56,-8111.567582840441,-1.9803631794044045,221,0.0,0.043999999999999956,-0.01926487870514393,249.2358856201172,0.00021585759532172233
57,-7720.087227876214,-1.8847869208682162,218,0.0,0.042999999999999955,-0.020684830844402313,235.5465545654297,0.00021294670295901597
58,-7972.685620484399,-1.946456450313574,223,0.0,0.041999999999999954,-0.021758224815130234,209.93922424316406,0.00020138488616794348
59,-8297.78562877114,-2.025826569524204,220,0.0,0.04099999999999995,-0.0200005155056715,274.7287292480469,0.00020744508947245777
60,-8104.169797124878,-1.9785570793761909,222,0.0,0.03999999999999995,-0.020573370158672333,239.5240936279297,0.00018976404680870473
61,-8078.443233565445,-1.9722761800696886,212,0.0,0.03899999999999995,-0.01795152574777603,257.4069519042969,0.00019312933727633208
62,-7895.599904170306,-1.9276366953540787,220,0.0,0.03799999999999995,-0.0202937051653862,231.9346923828125,0.00019308410992380232
63,-8096.43171095893,-1.9766678981833326,221,0.0,0.03699999999999995,-0.018785689026117325,237.2440185546875,0.00018895526591222733
64,-8080.977194403412,-1.9728948228523955,219,0.0,0.03599999999999995,-0.02061319723725319,223.5285186767578,0.0001731047814246267
65,-7675.22687259069,-1.8738346856910864,222,0.0,0.03499999999999995,-0.020894259214401245,193.678466796875,0.00017868245777208358
66,-8021.376421861471,-1.958343852993523,227,0.0,0.03399999999999995,-0.023265648633241653,206.70545959472656,0.00018487249326426536
67,-7686.455472813911,-1.8765760431674587,228,0.0,0.032999999999999946,-0.02228287234902382,186.99966430664062,0.00017353588191326708
68,-7666.309462585346,-1.8716575836390006,228,0.0,0.031999999999999945,-0.022168563678860664,188.22340393066406,0.00016143254470080137
69,-7306.645302683447,-1.783848950850451,241,0.0,0.030999999999999944,-0.020073771476745605,146.86920166015625,0.0001554572518216446
70,-7791.549995200766,-1.902233885547062,245,0.0,0.029999999999999943,-0.027163587510585785,204.14820861816406,0.00016587555001024157
71,-7492.581944737801,-1.8292436388520021,256,0.0,0.028999999999999942,-0.023320505395531654,152.77565002441406,0.00015845088637433946
72,-6752.25329486819,-1.6484993395674292,278,0.0,0.02799999999999994,-0.01235345657914877,88.7791748046875,0.00014469221059698611
73,-6271.193587440601,-1.5310531219337404,321,0.0,0.02699999999999994,-0.009502984583377838,69.22301483154297,0.00014408875722438097
74,-5968.041398557961,-1.4570413570698146,371,0.0,0.02599999999999994,-0.00792590994387865,29.015390396118164,0.00013221133849583566
75,-5695.213345959788,-1.3904329457909639,434,0.0,0.02499999999999994,-1.280568540096283e-09,13.879196166992188,0.00011026905849575996
76,-5719.59842111033,-1.396386333278889,468,0.0,0.023999999999999938,1.862645149230957e-09,12.762897491455078,9.609549306333065e-05
77,-6089.176209864669,-1.4866152856114914,513,0.0,0.022999999999999937,1.257285475730896e-08,12.811037063598633,0.00012237655755598098
78,-9727.769152555084,-2.3749436407605184,416,0.0,0.021999999999999936,2.9569491744041443e-08,142.06895446777344,0.00015848540351726115
79,-11538.46893919194,-2.8170090183574072,351,0.0,0.020999999999999935,2.1886080503463745e-08,279.1577453613281,0.00018099136650562286
80,-12261.42935472616,-2.9935130260561915,327,0.0,0.019999999999999934,-3.259629011154175e-09,377.8356628417969,0.00016169114678632468
81,-11305.096820797453,-2.760033403515003,356,0.0,0.018999999999999934,-8.614733815193176e-09,247.98309326171875,0.00010457089229021221
82,-9218.082734782822,-2.2505084801715873,430,0.0,0.017999999999999933,6.2515027821064e-08,81.93838500976562,7.086576079018414e-05
83,-6294.6962631563865,-1.5367910798721647,502,0.0,0.016999999999999932,3.5390257835388184e-08,24.24197006225586,5.465489812195301e-05
84,-5502.580621120902,-1.3434034719533452,489,0.0,0.01599999999999993,-5.657784640789032e-08,9.040291786193848,6.141175254015252e-05
85,-5473.100185974066,-1.3362061000913248,454,0.0,0.01499999999999993,0.004638152662664652,9.705777168273926,6.418634438887239e-05
