epoch,total_reward,avg_reward_per_step,num_episodes,avg_cost,lambda,pi_loss,loss_vr,loss_vc
21,-4493.172316169467,-1.0969658975023113,312,0.0,0.07899999999999999,-0.01797162927687168,85.2596435546875,0.0005291913985274732
22,-4367.76293198339,-1.0663483720662574,324,0.0,0.07799999999999999,-0.01998099870979786,76.05188751220703,0.0004798533336725086
23,-3950.3687252877,-0.9644454895721923,341,0.0,0.07699999999999999,-0.019526371732354164,42.6146354675293,0.0004263576411176473
24,-3918.6080033385283,-0.9566914070650704,352,0.0,0.07599999999999998,-0.017979655414819717,21.62896156311035,0.00039468484465032816
25,-3988.7929121884063,-0.9738263945772476,348,0.0,0.07499999999999998,-0.019836537539958954,17.40791893005371,0.00037797537515871227
26,-3871.971189244407,-0.9453054661241228,353,0.0,0.07399999999999998,-0.01680094376206398,14.290438652038574,0.00032918108627200127
27,-3669.2146902090967,-0.8958043677268303,348,0.0,0.07299999999999998,-0.016011927276849747,9.928580284118652,0.0003417741390876472
28,-3648.6045921836208,-0.8907726055135793,346,0.0,0.07199999999999998,-0.017983218654990196,19.44366455078125,0.00033481980790384114
29,-3455.1532943221428,-0.8435432847466169,342,0.0,0.07099999999999998,-0.00363008095882833,7.640913963317871,0.0003047207137569785
30,-3238.028213368719,-0.7905342317794725,331,0.0,0.06999999999999998,-0.017322489991784096,6.993079662322998,0.00027520942967385054
31,-3227.4321557054786,-0.7879473036390329,325,0.0,0.06899999999999998,-0.018265897408127785,8.788050651550293,0.0002579684660304338
32,-3354.5540311915033,-0.8189829177713631,313,0.0,0.06799999999999998,-0.019031934440135956,42.790401458740234,0.0002662799961399287
33,-3004.958861791284,-0.7336325346170127,325,0.0,0.06699999999999998,-0.00548175536096096,6.514647006988525,0.00023040077940095216
34,-3176.853720158508,-0.7755990527730733,309,0.0,0.06599999999999998,-0.018511157482862473,28.652902603149414,0.0002440780372126028
35,-3025.1878110057887,-0.7385712429213351,303,0.0,0.06499999999999997,-0.020346587523818016,19.562883377075195,0.00023895944468677044
36,-2886.827853132675,-0.7047919563312195,298,0.0,0.06399999999999997,-0.019197307527065277,16.84827995300293,0.000210365658858791
37,-3307.313766461986,-0.8074496500151332,279,0.0,0.06299999999999997,-0.022480281069874763,83.31837463378906,0.00026214512763544917
38,-3016.3193992199444,-0.7364061033251817,291,0.0,0.06199999999999997,-0.022309569641947746,36.537532806396484,0.00020632143423426896
39,-2736.818349865737,-0.6681685424476898,295,0.0,0.06099999999999997,-0.02099996618926525,7.753125190734863,0.00017975941591430455
40,-3008.6858450794252,-0.734542442646344,286,0.0,0.05999999999999997,-0.019216541200876236,35.442169189453125,0.00018110108794644475
41,-2995.236783381974,-0.7312589803178647,283,0.0,0.05899999999999997,-0.019916418939828873,43.14677047729492,0.00019861380860675126
42,-2895.031776982526,-0.7067948674273745,282,0.0,0.05799999999999997,-0.0216718427836895,36.84785842895508,0.00017208767530974
43,-2857.013914575287,-0.6975131627381072,289,0.0,0.05699999999999997,-0.0184117890894413,26.97567367553711,0.00017026226851157844
44,-2670.3003107081267,-0.6519287867939763,288,0.0,0.055999999999999966,-0.0181072186678648,11.549381256103516,0.00015749123122077435
45,-2634.4099954669264,-0.6431665027995426,283,0.0,0.054999999999999966,-0.02109113149344921,17.833965301513672,0.00015236080798786134
46,-2571.5030607226317,-0.6278083644342363,288,0.0,0.053999999999999965,-0.021382519975304604,9.632667541503906,0.00014447899593506008
47,-2833.680390746382,-0.6918165016470659,278,0.0,0.052999999999999964,-0.01828823983669281,27.459999084472656,0.00015829215408302844
48,-2722.2081074130065,-0.6646015887238785,282,0.0,0.05199999999999996,-0.016634119674563408,25.83769989013672,0.0001439817569917068
49,-2652.3289427536965,-0.6475412457894767,275,0.0,0.05099999999999996,-0.006756011862307787,24.40464973449707,0.00013220218534115702
50,-2534.2598988109635,-0.6187157956081454,285,0.0,0.04999999999999996,-0.019276848062872887,7.515130043029785,0.00010644710710039362
51,-2718.4194592113518,-0.6636766257840214,281,0.0,0.04899999999999996,-0.020389724522829056,32.4041862487793,0.00011371004075044766
52,-2830.2140953370736,-0.6909702381194027,277,0.0,0.04799999999999996,-0.00622960738837719,29.654111862182617,0.00012609393161255866
53,-2556.0695819215043,-0.6240404252738048,277,0.0,0.04699999999999996,-0.01882796362042427,11.30892276763916,0.0001025712481350638
54,-2555.8119594244527,-0.6239775291563605,272,0.0,0.04599999999999996,-0.018725574016571045,23.28766632080078,9.78613825282082e-05
55,-2542.9276412255194,-0.6208319436585741,280,0.0,0.04499999999999996,-0.020208220928907394,13.952281951904297,7.702165748924017e-05
56,-2437.4380482151887,-0.5950776484900363,269,0.0,0.043999999999999956,-0.0194964949041605,17.16336441040039,8.205479389289394e-05
57,-2528.411988429643,-0.6172880831127058,274,0.0,0.042999999999999955,-0.017588749527931213,13.960837364196777,8.130352216539904e-05
58,-2389.4374634264746,-0.5833587557193541,268,0.0,0.041999999999999954,-0.02072744071483612,10.964140892028809,7.225467561511323e-05
59,-2616.9257073519125,-0.638897877771463,265,0.0,0.04099999999999995,-0.0053689745254814625,34.33283996582031,8.072738273767754e-05
60,-2250.95968690517,-0.5495507048108326,269,0.0,0.03999999999999995,-0.021101534366607666,6.290741443634033,6.959212623769417e-05
61,-2243.1186588366586,-0.5476363913175436,266,0.0,0.03899999999999995,-0.020841730758547783,5.780694961547852,6.172870052978396e-05
62,-2201.014460216236,-0.5373570459512295,260,0.0,0.03799999999999995,-0.014450762420892715,10.599446296691895,6.459447467932478e-05
63,-2300.1147231919313,-0.5615514460917801,260,0.0,0.03699999999999995,-0.020120015367865562,15.992655754089355,6.220106297405437e-05
64,-2283.7416567784085,-0.5575541154244161,256,0.0,0.03599999999999995,-0.0175465140491724,16.183168411254883,6.337110244203359e-05
65,-2385.8477573318733,-0.5824823626298519,256,0.0,0.03499999999999995,-0.01848277449607849,21.39435577392578,6.581315392395481e-05
66,-2172.3169466614186,-0.5303508170560104,248,0.0,0.03399999999999995,-0.01807950623333454,17.96268081665039,5.9017886087531224e-05
67,-2131.8407240640367,-0.5204689267734465,252,0.0,0.032999999999999946,-0.019469913095235825,7.690278053283691,4.76581699331291e-05
68,-2166.5989940194004,-0.5289548325242677,244,0.0,0.031999999999999945,-0.021201947703957558,23.595733642578125,5.539669291465543e-05
69,-2111.1896587377773,-0.5154271627777777,245,0.0,0.030999999999999944,-0.018391402438282967,12.576913833618164,5.422450340120122e-05
70,-1978.7502781475584,-0.48309332962586876,241,0.0,0.029999999999999943,-0.021333765238523483,7.54793119430542,5.0929924327647313e-05
71,-1905.6914576036984,-0.4652567035165279,232,0.0,0.028999999999999942,-0.02009883150458336,10.153725624084473,5.324699668562971e-05
72,-2003.6903068830213,-0.4891822038288626,237,0.0,0.02799999999999994,-0.019534623250365257,11.213479995727539,6.164130172692239e-05
73,-2162.9670237280366,-0.5280681210273527,241,0.0,0.02699999999999994,-0.020902013406157494,19.960617065429688,5.0318343710387126e-05
74,-1901.5535550948978,-0.4642464734118403,239,0.0,0.02599999999999994,-0.018413271754980087,3.788168430328369,3.717113577295095e-05
75,-2081.3680415657373,-0.5081464945228851,236,0.0,0.02499999999999994,-0.01675141416490078,17.65395736694336,4.503690070123412e-05
76,-2322.557775856658,-0.5670307069962544,233,0.0,0.023999999999999938,-0.021126821637153625,47.762794494628906,5.1609375077532604e-05
77,-1923.46822409353,-0.46959673439783445,232,0.0,0.022999999999999937,-0.01909717358648777,12.460983276367188,3.777411257033236e-05
78,-1900.2923541671803,-0.46393856302909675,239,0.0,0.021999999999999936,-0.019318724051117897,11.653498649597168,2.564298119978048e-05
79,-1974.1110367300369,-0.48196070232666915,231,0.0,0.020999999999999935,-0.021527016535401344,29.28679084777832,3.247446147724986e-05
80,-1731.428389288514,-0.4227120091036411,233,0.0,0.019999999999999934,-0.018382908776402473,6.286488056182861,2.127491643477697e-05
81,-2196.760663313225,-0.5363185213167053,221,0.0,0.018999999999999934,-0.022504204884171486,50.761085510253906,3.823174847639166e-05
82,-1778.7541034393632,-0.4342661385350008,224,0.0,0.017999999999999933,-0.007571203634142876,13.231710433959961,2.0207357010804117e-05
83,-1883.7470049025994,-0.4598991711187987,237,0.0,0.016999999999999932,-0.01590067148208618,7.385130882263184,1.8011449355981313e-05
84,-1916.119112027745,-0.46780251758489866,234,0.0,0.01599999999999993,-0.018542196601629257,17.834781646728516,2.8429822123143822e-05
85,-1921.564566876041,-0.46913197433497095,244,0.0,0.01499999999999993,-0.004142505116760731,6.6999921798706055,1.382071332045598e-05
86,-1756.487736802516,-0.4288300138678018,236,0.0,0.01399999999999993,-0.003927415702491999,4.896367073059082,1.3125323675922118e-05
87,-1821.4796316113882,-0.44469717568637407,224,0.0,0.012999999999999928,-0.018339401111006737,11.737677574157715,2.070850860036444e-05
88,-1828.0206364517735,-0.44629410069623376,223,0.0,0.011999999999999927,-0.019143933430314064,24.07244110107422,3.109026147285476e-05
89,-1818.3656384203466,-0.44393692344246743,224,0.0,0.010999999999999927,-0.005696114152669907,24.885089874267578,2.0078812667634338e-05
90,-1793.1086899040279,-0.43777067624610055,232,0.0,0.009999999999999926,-0.006700098980218172,6.491268634796143,1.1213634024898056e-05
91,-1826.5957684105144,-0.44594623252209825,221,0.0,0.008999999999999925,-0.020066821947693825,12.413604736328125,1.691686520643998e-05
92,-2000.1908557270647,-0.4883278456364904,216,0.0,0.007999999999999924,-0.022575296461582184,40.08650588989258,3.6019770050188527e-05
93,-2011.3136689144062,-0.4910433761998062,222,0.0,0.006999999999999924,-0.006136178970336914,33.321937561035156,2.1217936591710895e-05
94,-1678.8351427877215,-0.40987186103215856,225,0.0,0.005999999999999924,-0.019525196403265,7.038948059082031,9.59340832196176e-06
95,-1777.9320446884892,-0.4340654405977757,224,0.0,0.004999999999999924,-0.020769283175468445,10.871797561645508,1.1472273399704136e-05
96,-1700.6460740437446,-0.4151967954208361,226,0.0,0.003999999999999924,-0.01953444629907608,9.02338981628418,8.914628779166378e-06
97,-1622.9589821984841,-0.3962302202633018,222,0.0,0.0029999999999999237,-0.01759941689670086,12.98718547821045,1.1860949598485604e-05
98,-1858.3074574785353,-0.45368834411097053,221,0.0,0.0019999999999999237,-0.018882490694522858,30.14674186706543,2.0661178496084176e-05
99,-1580.3819184240472,-0.3858354293027459,228,0.0,0.0009999999999999237,-0.0176219679415226,4.129655838012695,6.230146027519368e-06
100,-1581.127130795247,-0.38601736591680835,222,0.0,0.0,-0.005876027978956699,6.057315826416016,1.0254597327730153e-05
