epoch,total_reward,avg_reward_per_step,num_episodes,goal_reached,goal_reach_rate,avg_cost,lambda,pi_loss,loss_vr,loss_vc
1,-9142.929168120665,-2.2321604414357092,210,0,0.0,0.0,0.099,-0.023402513936161995,720.5575561523438,0.008106661960482597
2,-8585.523378041418,-2.096075043467143,211,0,0.0,0.0,0.098,-0.016867661848664284,635.8419189453125,0.005224158987402916
3,-8643.424776345599,-2.1102111270374997,215,0,0.0,0.0,0.097,-0.017871079966425896,631.62158203125,0.004554521758109331
4,-8299.805758391476,-2.026319765232294,200,0,0.0,0.0,0.096,-0.014700490981340408,643.7351684570312,0.0032399091869592667
5,-8139.851225454465,-1.987268365589469,202,0,0.0,0.0,0.095,-0.014229796826839447,625.9561157226562,0.002505487995222211
6,-7818.111096677114,-1.908718529462186,203,0,0.0,0.0,0.094,-0.01592288911342621,564.1344604492188,0.0022480476181954145
7,-8019.448414115152,-1.9578731479773321,199,0,0.0,0.0,0.093,-0.01663558930158615,611.1774291992188,0.0018098639557138085
8,-7249.54309179839,-1.7699079813960914,201,0,0.0,0.0,0.092,-0.015562837943434715,487.0760803222656,0.0015071375528350472
9,-7084.0946876339485,-1.729515304598132,200,0,0.0,0.0,0.091,-0.015478432178497314,468.75579833984375,0.0013641900150105357
10,-7362.502852634079,-1.797486048006367,185,0,0.0,0.0,0.09,-0.014698907732963562,568.5316162109375,0.001468356349505484
11,-7100.117232804634,-1.7334270587901939,198,0,0.0,0.0,0.089,-0.01796051301062107,471.3866271972656,0.0012766622239723802
12,-6560.2158711809625,-1.6016152029250397,195,0,0.0,0.0,0.088,-0.014995803125202656,421.0184326171875,0.0011290557449683547
13,-6322.842668226603,-1.5436627607975104,186,0,0.0,0.0,0.087,-0.015176028944551945,408.3457946777344,0.0010315522085875273
14,-6731.258166078437,-1.6433735757027434,186,0,0.0,0.0,0.086,-0.01601455733180046,440.68133544921875,0.0010003523202612996
15,-6426.1241489083695,-1.5688779660420824,186,0,0.0,0.0,0.08499999999999999,-0.01661321148276329,402.3034362792969,0.000945446954574436
16,-6679.421651546487,-1.6307181766470915,189,0,0.0,0.0,0.08399999999999999,-0.017658483237028122,410.27032470703125,0.0009060422889888287
17,-6971.811063592152,-1.7021023104473028,186,0,0.0,0.0,0.08299999999999999,-0.017014989629387856,461.0237121582031,0.0009443699382245541
18,-6706.418196532641,-1.6373091300128517,190,0,0.0,0.0,0.08199999999999999,-0.016376515850424767,402.69232177734375,0.0008530478808097541
19,-6592.9420629468505,-1.6096049958366334,186,0,0.0,0.0,0.08099999999999999,-0.01791783608496189,412.09051513671875,0.0008526455494575202
20,-7140.857540214682,-1.743373422903975,184,0,0.0,0.0,0.07999999999999999,-0.020047849044203758,446.9297790527344,0.0008085479494184256
21,-5970.168795129304,-1.4575607409983653,202,0,0.0,0.0,0.07899999999999999,-0.01750674657523632,278.8790283203125,0.0007217242382466793
22,-6673.150448939162,-1.6291871213230376,196,0,0.0,0.0,0.07799999999999999,-0.017515191808342934,362.57830810546875,0.000742380740121007
23,-6338.823984601817,-1.547564449365678,201,0,0.0,0.0,0.07699999999999999,-0.0180792436003685,327.0908508300781,0.0006881676381453872
24,-5663.335429652608,-1.3826502513800312,225,0,0.0,0.0,0.07599999999999998,-0.01835707761347294,207.43748474121094,0.0006188253173604608
25,-5530.78421996653,-1.3502891162027661,246,0,0.0,0.0,0.07499999999999998,-0.01668710634112358,187.14639282226562,0.0005802215309813619
26,-5102.1769661715,-1.2456486733817138,278,0,0.0,0.0,0.07399999999999998,-0.016606276854872704,149.27076721191406,0.0005506026209332049
27,-4817.201346790378,-1.1760745475562446,302,0,0.0,0.0,0.07299999999999998,-0.01679489016532898,113.79583740234375,0.0005122781731188297
28,-4507.788224054651,-1.1005342343883426,338,0,0.0,0.0,0.07199999999999998,-0.01651020534336567,72.55477142333984,0.0004752608947455883
29,-4358.762823798872,-1.0641510800290215,347,0,0.0,0.0,0.07099999999999998,-0.014575866982340813,46.37727355957031,0.00041274173418059945
30,-4404.182563520132,-1.0752398836719073,354,0,0.0,0.0,0.06999999999999998,-0.0021694758906960487,37.9705696105957,0.0004035199817735702
31,-4265.927513761383,-1.0414862094144002,385,0,0.0,0.0,0.06899999999999998,-0.013430152088403702,24.028514862060547,0.00037444537156261504
32,-4412.126747447958,-1.0771793817011617,391,0,0.0,0.0,0.06799999999999998,-0.01420516800135374,18.35533905029297,0.0003485569031909108
33,-4340.011900715998,-1.0595732179482418,404,0,0.0,0.0,0.06699999999999998,-0.013738147914409637,12.63687801361084,0.00031844660406932235
34,-4435.762706422363,-1.0829498794976473,404,0,0.0,0.0,0.06599999999999998,-0.01246866025030613,10.144082069396973,0.00028620040393434465
35,-4369.8707304194995,-1.0668629712938231,409,0,0.0,0.0,0.06499999999999997,-0.015685155987739563,8.556356430053711,0.0002824104158207774
36,-4223.721361039221,-1.031181972909966,399,0,0.0,0.0,0.06399999999999997,-0.012793885543942451,7.671686172485352,0.0002667620428837836
37,-4193.620196339204,-1.023833055746876,397,0,0.0,0.0,0.06299999999999997,-0.016235895454883575,9.015815734863281,0.00025779864517971873
38,-4076.8866322843514,-0.9953336504600467,400,0,0.0,0.0,0.06199999999999997,-0.011715562082827091,5.928343772888184,0.0002469336905051023
39,-3985.341396089152,-0.9729837392795782,398,0,0.0,0.0,0.06099999999999997,-0.011737007647752762,5.474699020385742,0.0002188889484386891
